"REF_DATE","GEO","DGUID","School board revenues by direct source of funds","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","129988","","","","0"
"2000","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","130058","","","","0"
"2001","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","133388","","","","0"
"2002","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","138773","","","","0"
"2003","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","147553","","","","0"
"2004","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","152342","","","","0"
"2005","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","151122","","","","0"
"2006","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","155191","","","","0"
"2007","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","161807","","","","0"
"2008","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","169415","","","","0"
"2009","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","177248","","","","0"
"2010","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","186022","","","","0"
"2011","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","195897","","","","0"
"2012","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","192515","","","","0"
"2013","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","215407","","","","0"
"2014","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","213945","","","","0"
"2015","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","216854","","","","0"
"2016","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","221010","","","","0"
"2017","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","227873","","","","0"
